No,NamaKiri,AsalKiri,NamaKanan,AsalKanan
58,Duri Bengkuang Rawang Panjang,Pl Kedundung/KT,Panglimo Rimbo Piako,Pekan Heran/INHU
59,Bintang Emas Cahaya Intan 2018,Tanjung/HK,Panglimo Rajo 2023,Kel. Simpang 3/KT
60,Tolang Sakti Bukit Keramat,Semelinang/INHU,Gurindam 12 Petuah Nagori,Pl Panjang Hulu/IN
61,Kalo Jengking Tigo Jumbalang,Sei Manau/КМ,Tuah Keramat Bukit Embun,Gumanti/INHU
62,Putri Sati Rimbo Piako,Kasang/KM,Rantai Emas,Seb Taluk Hilir/KT
63,Laksamane Perisai Indragiri,Rengat/INHU,Olang Buas,Kntn Tenang/INHU
64,Panglima Podang Bekaghat J.H,Tambak/INHU,Dubalang Sati Rimbo Bunian,Sei Jering/KT
65,Olang Kasiah,Monsalo Kopah/KT,Selendang Puti Rano Biso,Beringin Taluk/KT
66,Ratu Sialang,Bukit Kauman/KM,Putri Paduko Dubalang Itam,Gn Melintang/KH
67,Pendekar Sati Tigo Muaro,Inuman/HK,Tuah Panglimo Sati,Toar/GT
68,Sang Ratu Helmina,Koto Kombu/HK,Gelombang Putia Danau Keramat,Bkt Pedusunan/KM
69,Panglima Tasik Indang Bunian,Kp Pulau/INHU,Tuah Panji Bukik Tabandang,Kp Medan/KH
70,Keramat Jubah Merah,Muaro Sentajo/SR,Pendekar Hulu Bukit Tabandang,Lb Ambacang/HK
71,Dewa Ruci Arung Samudra,Pl Sipan/INM,Toduang Itom Dubalang Sati,Lumbok/ KHS
72,Alam Cahayo Tuah Nagoghi,Sikakak/CRT,Kilek Alam Cahayo Nagori,Jaya Kopah/KT
73,Buaye Kuning Nibung Berduri,Rt Bakuang/INHU,Tuah Rimbo Dobalang Sati,Sako/PGN
74,Panglimo Rajo 2016,Simpang Tiga/KT,Panglimo Hitam Bintang Nagoghi,Ketaping Jaya/INM
75,Power Agung,Koto Gunung/GT,Putri Kumayang Linduang Daun 2025,Pl Ingu/BNI
76,Tuah Keramat Sialang Soko,Setako Raya/INHU,Cahaya Indah Ratu Kuantan,Banjar Lopak/BNI
77,Dubalang Mudo,Muaro Sentajo/SR,Dewi Angin Hulu Sako,Koto Lb Jambi/KM
78,Linta Jalang 2020,PetapahanGT/,Cinto Mani Rantiang Batuah,Pl Aro/KT
