No,NamaKiri,AsalKiri,NamaKanan,AsalKanan,Pemenang
52,Kemilau Emas Sungai Tombang,Rwg Oguang/ KHS,Olang Barantai,Padang Kunik/PGN, R
53,Kilek Keramat Muaro Laii,Pauh Angit/PGN,Dubalang Pangulu Rajo,Pl Kopung/SR, R
54,7 Putri Tanjung Sialang,Rengat Barat/INHU,Tuah Ratu Panglimo Nago,Silunak/INHU, L
55,Cakaran Garuda Muda,Sei Alah/HK,Sembilu Biso Bukik Tunggal,Aur Duri/KM, L
56,9 Langkah Putri Samudera 2024,Banjar Benai/BNI,Primadona,Pl Rengas/PGN, L
57,Mahkota Ratu Sialang Soko,Setako Raya/INHU,Atom Baru,Simandolak/BNI, R
58,Duri Bengkuang Rawang Panjang,Pl Kedundung/KT,Panglimo Rimbo Piako,Pekan Heran/INHU, R
59,Bintang Emas Cahaya Intan 2018,Tanjung/HK,Panglimo Rajo 2023,Kel. Simpang 3/KT, L
60,Tolang Sakti Bukit Keramat,Semelinang/INHU,Gurindam 12 Petuah Nagori,Pl Panjang Hulu/IN, R
61,Kalo Jengking Tigo Jumbalang,Sei Manau/КМ,Tuah Keramat Bukit Embun,Gumanti/INHU, R
62,Putri Sati Rimbo Piako,Kasang/KM,Rantai Emas,Seb Taluk Hilir/KT, L
63,Laksamane Perisai Indragiri,Rengat/INHU,Olang Buas,Kntn Tenang/INHU, R
64,Panglima Podang Bekaghat J.H,Tambak/INHU,Dubalang Sati Rimbo Bunian,Sei Jering/KT, L
65,Olang Kasiah,Monsalo Kopah/KT,Selendang Puti Rano Biso,Beringin Taluk/KT, R
66,Ratu Sialang,Bukit Kauman/KM,Putri Paduko Dubalang Itam,Gn Melintang/KH, L
67,Pendekar Sati Tigo Muaro,Inuman/HK,Tuah Panglimo Sati,Toar/GT, R
68,Sang Ratu Helmina,Koto Kombu/HK,Gelombang Putia Danau Keramat,Bkt Pedusunan/KM, L
69,Panglima Tasik Indang Bunian,Kp Pulau/INHU,Tuah Panji Bukik Tabandang,Kp Medan/KH, L
70,Keramat Jubah Merah,Muaro Sentajo/SR,Pendekar Hulu Bukit Tabandang,Lb Ambacang/HK, R
71,Dewa Ruci Arung Samudra,Pl Sipan/INM,Toduang Itom Dubalang Sati,Lumbok/ KHS, R
72,Alam Cahayo Tuah Nagoghi,Sikakak/CRT,Kilek Alam Cahayo Nagori,Jaya Kopah/KT, L
73,Buaye Kuning Nibung Berduri,Rt Bakuang/INHU,Tuah Rimbo Dobalang Sati,Sako/PGN, R
74,Panglimo Rajo 2016,Simpang Tiga/KT,Panglimo Hitam Bintang Nagoghi,Ketaping Jaya/INM, R
75,Power Agung,Koto Gunung/GT,Putri Kumayang Linduang Daun 2025,Pl Ingu/BNI, R
76,Tuah Keramat Sialang Soko,Setako Raya/INHU,Cahaya Indah Ratu Kuantan,Banjar Lopak/BNI, L
77,Dubalang Mudo,Muaro Sentajo/SR,Dewi Angin Hulu Sako,Koto Lb Jambi/KM, R
78,Linta Jalang 2020,Petapahan/GT,Cinto Mani Rantiang Batuah,Pl Aro/KT, L
79,Tuah Panglimo Keramat Olang Putih,Btrjl Hulu/INHU,Lintasan Dubalang Sati,Koto Sentajo/SR, L
80,Puti Kirana Sonsong Barat,Ds Manggis Kari/KT,Pendekar Mudo Bukik Harapan,Dusun Tuo/ΚΗ, L
81,Tuah Selendang Putri Andini H.N,Btrjl Hilir/INHU,Lompatan Dubalang Kucieng Itom,Danau/ KHS, L
82,Binti Mandi,Pl Kijang/KH,Lancang Keramat Saronggo Inai,Pl Lancang/BNI, L
83,Batu Hijau Tuah Negeri,Btrjl Barat/INHU,Cahaya Baru,Sukaping/PGN, L
84,Pangeran Hilir Rantau Kuantan,Teluk Pauh/CRT,Lancang Kuning Rantau Kuantan,Pl Panjang Hilir/INM, R
85,Sutan Benai,Koto Benai/BNI,Toduang Bakotat,Pauh Angit/PGN, R
86,Tuah Ratu Bukit Awan,Beringin Jaya/SR,Cahayo Koghi Tuah Nagori,Trt Jering/ KHS, L
87,Linggar Jati,Pl Kumpai/PGN,Raja Laut,Sei Sorik/ KHS, R
88,Siganteng Ibu Kota,Sawah/KT,Tuah Koghi Dubalang Ghajo 2025,Pt Gobang Kari/KT, R
89,Singa Ngarai,Pl Kalimanting/BNI,Pendekar Kayangan Tuah Nagori,Pembatang/PGN, L
90,Agung Kuantan Kualo Ronangan,Pl Tongah/BNI,Puntiang Baliyuang Sirajo Beleng,Pl Komang/SR, L
91,Tuah Intan Selendang Mayang,Gn Kesiangan/BNI,Siluman Ulagh Bidai Lubuk Patin,Katipo Pura/INHU, R
92,Puti Mandi Mayang Taurai,Rantau Sialang/KM,Halilintar Gelombang Cahaya Putih,Sei Kelelawar/HK, R
93,Lompatan Keramat Panjang,Pl Baru Kopah/KT,Nago Kuantan Benteng Nagoghi,Kp Baru/CRT, L
94,Bomber,Siberakun/BNI,Garuda Baru,Pl Mungkur/GT, L
95,Panglimo Gagak Itam Sungai Onangan,Seb Pl Busuk/INM,Rajo Tunggal,Seb Taluk/KT, R
96,Dek Lasak Untuong Jadi,Seb Pl Busuk/INM,Datuok Keramat Tuah Nagoghi,Sikijang/LTD, L
97,Rimbo Sakti Saiyo Batuah,Prhtn Luas/LTD,Guntuang Sati Tuah Nagori,Siberobah/GT, L
98,Ngiang Kuantan Cahayo Nagori,Kampung Baru/GT,Pendekar Mudo 2016,Seb Pantai/KM, L
99,Tuah Srikandi Rantau Kuantan,Kompe Berangin/CRT,Sutan Nan Garang,Pl Kumpai/PGN, R
100,Ratu Bertuah Seghanjau Danau M,Pl Sengkilo/INHU,Sultan Muda,Pauhranap/INHU, R
101,Tuah Carano Mendulang Ome,Pl Bayur/CRT,Pendekar Mudo,Seb Pantai/KM, R
102,Tuah Inayan Mondulang Untuang,Pl Aro/KT,Harimau Paing,Pl Banjar Kari/KT, L
103,Selendang Putri Danau Seroja,Tj Simandolak/BNI,Tanjung Ghasau Benteng Batuah,Pematang/INHU, L
104,Mahkota Ghajo Bujang Danau Pauh,Lb Sitarak/INHU,Ular Putie Linggo Biso,Pl Kulur/ KHS, L
105,Pejuang Muda Danau Kompe,Benai Kecil/BNI,Terusan Nago Kuantan,Luai/KM, L
106,Limbago Sati Rantau Kuantan,Kopah/KT,Panglimo Gajah Putih,Tebing Tinggi/BNI, L
107,Mariam Onggang Parau,Kepala Pulau/KH,Telabang Sati Miyor Dubalang Hitam,Kamang Baru/SBR, R
108,Titian Akar Lubuak Balanti,Kinali/KM,Toduang Kuantan,Tanah Bekali/PGN, R
109,Badai Gangga,Koto Taluk/KT,Untung Bertuah,Danau Baru/INHU, R
110,Pendekar Sakti Rantau Kuantan,Koto Rajo/ KHS,Palimo Olang Putie,Sei Alah/HK, R
111,Ombak Nyalo Simutuolang,Pl Tongah/PGN,Bintang Medan Kuansing,Sei Jering/KT, R
112,Tuah Keramat Kancil Putih,Koto Cengar/KM,Rawang Udang,Talontam/BNI, R
113,Ghajo Siluman Buayo Danou,Bandar Alai/KT,Langkah Siluman Buayo Danou 2024,Sitorajo Kari/KT, R
114,Gagak Itom,Banuaran/KH,Putri Mahkota Bunga Setangkai,Sigaruntang/INM, R
